                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    101,                0.57171,                0.35008,                 1.0026,                0.91472,                 0.9951,                0.97702,                 0.8604,                0.58383,                 0.3088,                0.94434,             0.00063125,             0.00063125,             0.00063125
                    102,                0.56085,                0.34709,                  1.001,                0.91046,                 0.9943,                0.97644,                0.85424,                0.58006,                0.30587,                0.95272,             0.00062506,             0.00062506,             0.00062506
                    103,                0.54525,                0.34392,                0.98906,                0.90674,                0.99206,                0.97764,                0.85872,                0.59105,                0.30139,                0.95317,             0.00061887,             0.00061887,             0.00061887
                    104,                0.55324,                0.34499,                0.99785,                0.90337,                0.99203,                0.97615,                0.86422,                  0.566,                0.31347,                0.92859,             0.00061269,             0.00061269,             0.00061269
                    105,                0.54697,                0.33865,                0.99091,                 0.9166,                0.99317,                0.97786,                0.84847,                0.59193,                0.30547,                 0.9462,              0.0006065,              0.0006065,              0.0006065
                    106,                 0.5512,                0.34156,                0.98949,                0.91189,                0.99389,                0.97999,                0.85759,                0.58493,                0.30634,                 0.9494,             0.00060031,             0.00060031,             0.00060031
                    107,                0.54287,                0.33654,                0.98579,                 0.9249,                 0.9951,                0.97929,                0.85757,                0.60004,                0.30671,                0.95525,             0.00059413,             0.00059413,             0.00059413
                    108,                0.55182,                0.33492,                0.99422,                0.92288,                 0.9951,                0.97708,                0.85302,                0.59317,                0.29907,                0.95496,             0.00058794,             0.00058794,             0.00058794
                    109,                0.53482,                0.32705,                0.98728,                0.91331,                 0.9951,                  0.976,                 0.8591,                0.58658,                0.30204,                0.94082,             0.00058175,             0.00058175,             0.00058175
                    110,                0.53704,                0.32866,                0.99448,                0.90659,                 0.9951,                0.97641,                0.86444,                0.57618,                0.30491,                0.94106,             0.00057556,             0.00057556,             0.00057556
                    111,                0.54049,                0.33866,                0.98731,                0.91233,                0.99038,                0.97722,                0.85779,                0.58606,                0.29886,                0.95382,             0.00056938,             0.00056938,             0.00056938
                    112,                0.54174,                0.32758,                0.98918,                0.90868,                0.99363,                0.97658,                0.85415,                0.58691,                0.30439,                0.94263,             0.00056319,             0.00056319,             0.00056319
                    113,                0.53997,                0.33938,                0.99096,                0.91195,                 0.9951,                0.97723,                0.85331,                0.58449,                 0.3093,                0.95252,               0.000557,               0.000557,               0.000557
                    114,                0.53236,                0.32669,                0.98793,                0.91626,                0.98845,                0.97756,                0.85585,                 0.5996,                0.30802,                0.95782,             0.00055081,             0.00055081,             0.00055081
                    115,                0.53271,                0.32412,                0.98314,                0.91933,                 0.9914,                0.97833,                0.85854,                0.59302,                0.31055,                0.95427,             0.00054463,             0.00054463,             0.00054463
                    116,                0.53726,                0.32603,                0.98785,                0.91725,                 0.9917,                0.97754,                0.85913,                0.58345,                0.29843,                0.93967,             0.00053844,             0.00053844,             0.00053844
                    117,                0.52921,                0.31942,                0.98469,                0.91214,                 0.9951,                0.97881,                0.85648,                0.58664,                0.29785,                0.94884,             0.00053225,             0.00053225,             0.00053225
                    118,                0.53141,                0.32457,                0.98453,                0.92532,                0.99052,                0.97787,                0.85483,                0.59439,                0.30573,                0.94968,             0.00052606,             0.00052606,             0.00052606
                    119,                0.53238,                0.32554,                0.98206,                0.91353,                  0.992,                0.97747,                 0.8509,                0.60079,                0.31259,                0.94924,             0.00051988,             0.00051988,             0.00051988
                    120,                0.52789,                0.31572,                0.98443,                0.91564,                0.99391,                0.97729,                0.85154,                0.59914,                0.29907,                0.95597,             0.00051369,             0.00051369,             0.00051369
                    121,                0.52426,                 0.3233,                0.97876,                0.91893,                0.99313,                0.97797,                0.85813,                0.58548,                0.30854,                0.94936,              0.0005075,              0.0005075,              0.0005075
                    122,                0.51715,                   0.32,                0.98069,                0.91801,                0.99389,                0.97872,                0.85435,                0.60018,                0.30491,                0.95335,             0.00050131,             0.00050131,             0.00050131
                    123,                0.51495,                0.31133,                0.97579,                0.91514,                 0.9951,                0.97672,                0.84973,                0.60454,                0.31376,                0.95798,             0.00049513,             0.00049513,             0.00049513
                    124,                0.51434,                0.32047,                0.97181,                0.90948,                 0.9951,                0.97593,                0.85013,                0.59263,                0.31283,                0.95266,             0.00048894,             0.00048894,             0.00048894
                    125,                0.51941,                 0.3126,                0.97708,                0.91806,                 0.9951,                0.97761,                0.86331,                0.58109,                0.29112,                0.94057,             0.00048275,             0.00048275,             0.00048275
                    126,                0.52139,                0.32429,                0.97788,                0.91655,                0.99369,                0.97824,                 0.8585,                0.58999,                0.30472,                0.94746,             0.00047656,             0.00047656,             0.00047656
                    127,                0.51872,                0.32529,                0.97596,                 0.9115,                0.98825,                0.97688,                0.85694,                0.58625,                0.31302,                0.94903,             0.00047038,             0.00047038,             0.00047038
                    128,                0.52545,                0.31771,                0.97792,                 0.9231,                 0.9951,                0.97957,                0.85989,                0.59075,                0.29663,                0.95037,             0.00046419,             0.00046419,             0.00046419
                    129,                0.51446,                0.31364,                0.97822,                0.91346,                 0.9951,                0.97661,                0.85313,                0.60121,                0.30907,                0.95954,               0.000458,               0.000458,               0.000458
                    130,                0.52414,                0.32219,                0.98157,                0.92049,                 0.9951,                0.97946,                0.86288,                0.58492,                0.30142,                0.94638,             0.00045181,             0.00045181,             0.00045181
                    131,                0.50688,                0.31215,                0.97671,                0.91711,                0.98922,                0.98072,                0.85926,                 0.5863,                0.30798,                0.94728,             0.00044563,             0.00044563,             0.00044563
                    132,                0.49339,                0.30431,                0.96895,                0.91557,                0.99278,                0.98045,                0.86447,                0.58913,                0.30691,                0.94883,             0.00043944,             0.00043944,             0.00043944
                    133,                0.50381,                0.30962,                0.97365,                0.90934,                 0.9951,                0.97818,                0.86338,                0.58423,                0.29345,                0.94167,             0.00043325,             0.00043325,             0.00043325
                    134,                0.51063,                0.30531,                0.97415,                0.91464,                0.99332,                0.97836,                0.86208,                0.58896,                0.30652,                0.94621,             0.00042706,             0.00042706,             0.00042706
                    135,                0.49686,                0.30949,                0.97062,                0.91675,                0.99245,                0.97789,                0.85365,                0.59454,                0.31512,                0.95225,             0.00042087,             0.00042087,             0.00042087
                    136,                0.49988,                0.30632,                0.97064,                0.91093,                0.99258,                0.98103,                0.85929,                 0.5853,                0.31429,                0.94762,             0.00041469,             0.00041469,             0.00041469
                    137,                0.49377,                0.30072,                0.96766,                 0.9211,                0.99436,                0.97962,                0.85643,                 0.5957,                0.30329,                0.95305,              0.0004085,              0.0004085,              0.0004085
                    138,                0.48935,                 0.2954,                0.96736,                0.91618,                 0.9951,                0.97896,                  0.856,                0.59847,                0.30706,                0.95424,             0.00040231,             0.00040231,             0.00040231
                    139,                0.49334,                0.30271,                0.96871,                0.91718,                0.98825,                0.97789,                0.85875,                0.58487,                0.30919,                 0.9494,             0.00039613,             0.00039613,             0.00039613
                    140,                0.48948,                0.30137,                0.96508,                  0.917,                0.99434,                0.97934,                0.86487,                0.58561,                0.30214,                0.95576,             0.00038994,             0.00038994,             0.00038994
                    141,                0.49761,                0.30882,                0.96587,                 0.9215,                0.98811,                0.97862,                0.86451,                0.56839,                0.30282,                0.93873,             0.00038375,             0.00038375,             0.00038375
                    142,                 0.4891,                0.30771,                0.96755,                0.91862,                0.99038,                0.97848,                0.86365,                 0.5758,                0.30883,                0.93978,             0.00037756,             0.00037756,             0.00037756
                    143,                0.47616,                0.29324,                0.96522,                0.92255,                0.99381,                0.97993,                0.86535,                0.57198,                0.28496,                0.93169,             0.00037138,             0.00037138,             0.00037138
                    144,                0.48296,                0.29916,                0.96177,                0.91538,                0.99291,                0.97783,                0.86265,                0.57608,                0.29259,                0.93409,             0.00036519,             0.00036519,             0.00036519
                    145,                0.48873,                0.29832,                 0.9699,                0.91745,                0.99343,                0.97903,                0.86263,                 0.5844,                0.29845,                0.94877,               0.000359,               0.000359,               0.000359
                    146,                 0.4813,                0.29194,                0.96254,                0.91927,                0.99313,                 0.9787,                0.86074,                0.58191,                0.29952,                0.94721,             0.00035281,             0.00035281,             0.00035281
                    147,                0.47666,                0.29553,                0.95544,                0.92034,                0.98825,                0.97699,                 0.8616,                0.58991,                0.29693,                0.94861,             0.00034663,             0.00034663,             0.00034663
                    148,                0.47319,                0.29628,                0.96287,                0.91224,                0.99205,                0.97677,                0.86038,                 0.5941,                0.30907,                0.95381,             0.00034044,             0.00034044,             0.00034044
                    149,                0.47207,                0.29168,                0.95509,                0.91946,                0.99186,                0.97846,                0.86289,                0.58385,                  0.293,                0.94207,             0.00033425,             0.00033425,             0.00033425
                    150,                0.46493,                0.28957,                0.95481,                0.90799,                0.99423,                0.97697,                 0.8603,                0.58617,                0.29601,                0.94678,             0.00032806,             0.00032806,             0.00032806
                    151,                0.47388,                0.29332,                0.95729,                0.92132,                0.98567,                0.97868,                0.86646,                0.58113,                0.29812,                 0.9441,             0.00032188,             0.00032188,             0.00032188
                    152,                0.47194,                0.28731,                0.95605,                0.91151,                0.98674,                 0.9808,                0.86737,                0.58787,                0.30067,                0.95007,             0.00031569,             0.00031569,             0.00031569
                    153,                0.46956,                0.29487,                0.95658,                0.92085,                0.99204,                0.97986,                0.86212,                0.58851,                0.30194,                0.95201,              0.0003095,              0.0003095,              0.0003095
                    154,                0.47386,                0.28747,                 0.9602,                0.91969,                0.99202,                0.97957,                0.86283,                0.59224,                0.30359,                0.96105,             0.00030331,             0.00030331,             0.00030331
                    155,                0.47124,                0.28493,                0.95731,                0.91854,                0.99247,                0.97987,                0.86315,                0.58891,                0.29994,                0.95918,             0.00029713,             0.00029713,             0.00029713
                    156,                0.45848,                0.27749,                0.95331,                0.91201,                0.99079,                0.98002,                 0.8665,                0.58795,                0.30514,                0.95807,             0.00029094,             0.00029094,             0.00029094
