                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     74,                0.65485,                0.44662,                  1.102,                0.97809,                0.99538,                0.99226,                0.86411,                0.58336,                0.25893,                0.95468,             0.00058053,             0.00058053,             0.00058053
                     75,                0.59972,                0.33296,                 1.0108,                 0.9839,                0.99048,                0.99152,                0.85258,                0.57434,                0.25869,                0.94202,             0.00057603,             0.00057603,             0.00057603
                     76,                0.57121,                0.31957,                0.99841,                0.96798,                0.99591,                0.99211,                0.84766,                0.56643,                0.25766,                0.94161,             0.00057153,             0.00057153,             0.00057153
                     77,                0.59911,                0.32602,                 1.0253,                0.97762,                0.99538,                0.99193,                0.85578,                0.56558,                 0.2527,                0.93875,             0.00056703,             0.00056703,             0.00056703
                     78,                0.57604,                 0.3259,                 1.0012,                0.97945,                0.91721,                0.94102,                0.82658,                0.56556,                0.25415,                0.94129,             0.00056253,             0.00056253,             0.00056253
                     79,                0.58763,                0.33731,                 1.0151,                0.94195,                0.92147,                0.93971,                0.81728,                0.58373,                0.27053,                0.95669,             0.00055804,             0.00055804,             0.00055804
                     80,                0.58852,                0.33135,                 1.0053,                0.98326,                0.98503,                0.99023,                0.85775,                  0.569,                0.25205,                0.93988,             0.00055354,             0.00055354,             0.00055354
                     81,                 0.5795,                0.32848,                 1.0065,                0.96277,                0.99718,                0.99163,                0.86461,                0.56985,                0.25876,                0.94102,             0.00054904,             0.00054904,             0.00054904
                     82,                0.57072,                0.32165,                 1.0003,                0.98106,                0.99331,                0.99101,                0.86059,                0.56116,                0.24534,                0.93782,             0.00054454,             0.00054454,             0.00054454
                     83,                0.57395,                 0.3196,                 1.0014,                0.97391,                0.99459,                0.99015,                0.85097,                0.55238,                0.25102,                0.93407,             0.00054004,             0.00054004,             0.00054004
                     84,                0.58512,                0.32375,                 1.0054,                0.96354,                0.99589,                0.99017,                0.85011,                0.57179,                 0.2621,                0.94857,             0.00053554,             0.00053554,             0.00053554
                     85,                0.60782,                0.33513,                 1.0368,                0.97837,                0.98889,                0.99024,                0.83637,                 0.5685,                0.24706,                0.94455,             0.00053104,             0.00053104,             0.00053104
                     86,                 0.5679,                0.32713,                0.99771,                0.98054,                0.99259,                0.99108,                0.83952,                0.57563,                0.25714,                0.95052,             0.00052654,             0.00052654,             0.00052654
                     87,                0.56394,                0.31248,                0.99282,                0.97814,                0.99234,                0.98958,                0.84839,                0.56424,                0.25692,                0.94656,             0.00052204,             0.00052204,             0.00052204
                     88,                0.56028,                0.31709,                 1.0119,                0.91714,                0.98533,                0.96553,                0.82602,                0.58548,                0.25788,                 0.9576,             0.00051754,             0.00051754,             0.00051754
                     89,                0.59192,                0.31412,                 1.0099,                0.97826,                0.99521,                0.99116,                 0.8472,                0.57887,                0.24297,                0.94839,             0.00051304,             0.00051304,             0.00051304
                     90,                0.57209,                0.31938,                 1.0091,                0.96909,                0.91902,                0.93842,                0.80634,                  0.561,                0.25054,                0.94337,             0.00050854,             0.00050854,             0.00050854
                     91,                0.56812,                 0.3187,                0.99918,                0.97571,                0.99145,                0.99108,                0.83788,                 0.5693,                0.24468,                0.94748,             0.00050404,             0.00050404,             0.00050404
                     92,                0.57904,                0.34332,                 1.0083,                0.98209,                0.99402,                0.99155,                0.85383,                0.56087,                0.23867,                 0.9405,             0.00049954,             0.00049954,             0.00049954
                     93,                0.56289,                0.31181,                0.99291,                0.96872,                0.99538,                0.98995,                0.85123,                 0.5731,                0.25266,                0.95081,             0.00049504,             0.00049504,             0.00049504
